processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
IT Subject Matter Expert	Logistics Support Manager
Delivery Manager	Program Manager
Senior Technician	Engineering Technician
Database Report Writer	Reports Writer
Performance Analyst	Business Analyst
Operations Lead	Warehouse Lead
Client Services Analyst	Services Manager
Project Controls Analyst	Project Analyst
Data Consultant	Healthcare Consultant
Solutions Manager	Logistics Manager
Analytics Manager	Resource Manager
Manager - IT Change Management	Training Manager
QA Specialist	Quality Control Specialist
IT Operations Specialist	Operations Analyst
Integration Manager	Systems Integration Manager
IT Support Administrator	Support Administrator
Technologist	Engineering Technologist
Senior Quality Assurance Engineer	Quality Assurance Engineer
Software Specialist	Collections Specialist
Solutions Analyst	Business Analyst
Requirements Management Analyst	Change Management Analyst
Engineer Technician	Operations Technician
Product Analyst	Research Analyst
IT Operations Administrator	Administrative Assistant
SAS Analyst	Research Analyst
Business Intelligence Consultant	Business Consultant
Integration Technician	Aircraft Technician
Coding Analyst	Clinical Analyst
C# Developer	C Developer
Web Analyst	Research Analyst
Statistical Analyst	Research Analyst
Operations Administrator	Office Administrator
Coding Manager	Medical Coding Manager
Quality Assurance (QA) Associate	Quality Assurance (QA) Technician
soc15 Accuracy (%): 87.6262626263 (347/396)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc17-categories.txt
Control Specialist	Business Control Analyst
Quality Control Lead	Quality Lead
PLC Technician	PLC Maintenance Technician
Project Coordinator	IT Project Coordinator
Planner	Production Planner
Project Leader	Project Lead
Process Improvement Manager	Process Manager
Sheet Metal Engineer	Sheet Metal Mechanic
Electrical Controls Programmer	Electrical Apprentice
Lead Technician	Maintenance Manager
Scientist	Research Scientist
Building Engineer	Building Maintenance Worker
Manufacturing Planner	Manufacturing Supervisor
Imagery Analyst	Intelligence Analyst
Imaging Engineer	Field Service Engineer
soc17 Accuracy (%): 92.3766816143 (206/223)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc19-categories.txt
Clinical Trials Assistant	Clinical Trials Manager
Quality Assurance Analyst	IT Quality Assurance Analyst
Laboratory Supervisor	Technician Supervisor
Field Specialist	Field Engineer
Analytical Technologist	Medical Technologist
Technical Assistant	Claims Assistant
Water Technician	Water and Wastewater Engineer
Transportation Analyst	Logistics Analyst
Quality Assurance (QA) Associate	Quality Assurance (QA) Technician
soc19 Accuracy (%): 91.7355371901 (111/121)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc21-categories.txt
Counselor	Career Counselor
Career Coach	Job Coach
Education Specialist	Training and Development Specialist
Child Care Worker	Child Care Assistant
Multisystemic Therapy (MST) Therapist	Therapy Technician
Mental Health Practitioner	Mental Health Technician
Field Case Manager	Case Manager
Placement Specialist	Recruiter
Clinical Social Worker	Licensed Clinical Social Worker (LCSW)
soc21 Accuracy (%): 94.2196531792 (163/173)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc23-categories.txt
Project Attorney	Project Manager
Operations Counsel	Operations Analyst
soc23 Accuracy (%): 97.4193548387 (151/155)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc25-categories.txt
Heating, Ventilating and Air Conditioning (HVAC) Instructor	Heating, Ventilation, and Air Conditioning (HVAC) Mechanic
Education Coordinator	Education Specialist
Program Director	Program Manager
Education Specialist	Training and Development Specialist
Licensed Practical Nurse (LPN) Instructor	Licensed Practical Nurse (LPN)
Program Coordinator	Case Management Supervisor
Certified Nursing Assistant (CNA) Instructor	Certified Nursing Assistant (CNA)
Commercial Driver's License (CDL) Instructor	Commercial Driver's License (CDL) Driver
Clinical Educator	Nurse Educator
Licensed Practical Nursing (LPN) Faculty	Licensed Practical Nurse (LPN)
Research Assistant (RA)	Research Assistant
Learning Consultant	Training and Development Specialist
soc25 Accuracy (%): 88.2352941176 (150/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc27-categories.txt
Program Director	Program Manager
Computer Aided Design (CAD) Designer	Design Engineer
Content Specialist	Web Specialist
Marketing Assistant	Administrative Assistant
Brand Advocate	Brand Ambassador
Director of Marketing	Marketing Director
Marketing Representative	Sales Representative
User Interface (UI) Designer	User Interface Developer
Communications Director	Director of Communications
Program Coordinator	Case Management Supervisor
Web Producer	Web Manager
Account Specialist	Collections Specialist
Technical Designer	Design Engineer
Proofreader	Administrative Assistant
Media Relations Manager	Relationship Manager
Media Consultant	Outside Sales Media Consultant
Visual Manager	Sales Manager
Program Supervisor	Clinical Supervisor
soc27 Accuracy (%): 84.8484848485 (140/165)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc29-categories.txt
Clinical Nurse	Nurse Manager
Surgical Unit Nurse	Unit Manager
Rehabilitation Coordinator	Volunteer Coordinator
Unit Manager Nurse	Unit Manager
Inpatient Services Nurse	Nurse Assistant
Travel Nurse - Cardiac Catheterization Laboratory	Cardiac Catheterization Laboratory Nurse
Cardiovascular Operating Room (CVOR) Nurse	Room Manager
Case Management Coordinator	Case Management Specialist
Quality Improvement Nurse	Director of Quality Improvement
Surgical Services Manager	Clinical Services Manager
Patient Care Manager	Director of Patient Care
Medical Program Coordinator	Medical Social Worker
Resident Care Manager	Resident Manager
Case Manager Supervisor	Case Management Supervisor
Therapy Technician	Physical Therapy Technician
Health Coach	Job Coach
Laboratory Supervisor	Technician Supervisor
Director of Case Management	Division Director
Clinical Trainer	Systems Trainer
Technician Assistant	Maintenance Assistant
Clinical Analyst	Clinical Systems Analyst
Registrar	Medical Supervisor
Health and Wellness Director	Director of Career Services
Clinical Director	Clinical Manager
Nursery Nurse	Nurse Manager
Health Care Coordinator	Health Supervisor
Obstetrics Nurse	Nurse Manager
Medical-Surgical Nurse	Travel Nurse - Medical/Surgical
Emergency Room (ER) Technician	Operating Room Assistant
Registered Respiratory Therapist	Respiratory Therapist
Clinical Reviewer	Clinical Supervisor
Certified Nursing Midwife	Certified Nursing Assistant (CNA)
Unit Supervisor	Maintenance Supervisor
Imaging Assistant	Clinical Assistant
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Imaging Engineer	Field Service Engineer
soc29 Accuracy (%): 82.4817518248 (226/274)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc31-categories.txt
Environmental Services Aide	Environment Services Technician
Instrument Technician	Instrumentation Technician
Operating Room Assistant	Room Manager
Environmental Services Assistant	Environmental Services Manager
Registered Dental Assistant	Dental Assistant
Rehabilitation Assistant	Activities Assistant
Certified Home Health Aide	Home Health Aide (HHA)
Pathology Assistant	Laboratory Assistant
Nutrition Assistant	Nutrition Services Worker
soc31 Accuracy (%): 87.9518072289 (73/83)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc33-categories.txt
Security Specialist	Information Security Specialist
Security Dispatcher	Dispatcher
Assistant Shift Supervisor	Assistant Supervisor
Security Analyst	Information Security Analyst
Investigative Analyst	Research Investigator
Protection Manager	Risk Manager
soc33 Accuracy (%): 90.2173913043 (83/92)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc35-categories.txt
Shift Manager	Sales Manager
Restaurant Shift Supervisor	Restaurant Supervisor
Food Production Manager	Production Manager
Room Supervisor	Tool Maker
Assistant Shift Manager	Speciality Coffee Assistant Manager
Food Clerk	Grocery Clerk
soc35 Accuracy (%): 91.7525773196 (89/97)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc37-categories.txt
Environment Services Technician	Maintenance Technician
Environmental Services Director	Environmental Services Manager
Maintenance Supervisor	Maintenance Manager
soc37 Accuracy (%): 95.1612903226 (59/62)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc39-categories.txt
Activities Director	Activity Director
Service Porter	Porter
Recreation Specialist	Activity Director
Recreation Director	Activity Director
Housekeeping Aide	Housekeeper
Life Skills Trainer	Life Skills Worker
Slot Technician Supervisor	Technician Supervisor
Utility Aide	Food Service Assistant
Valet	Valet Attendant
Fitness Attendant	Room Attendant
Wellness Coordinator	Project Coordinator
Hair Stylist Assistant	Hair Stylist
Caretaker	Property Caretaker
soc39 Accuracy (%): 82.3529411765 (84/102)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc41-categories.txt
Private Banker	Commercial Banker
Leasing Consultant	Leasing Manager
Universal Banker	Bank Teller
Client Associate	Client Service Associate
Mortgage Sales Assistant	Mortgage Assistant
Product Sales Specialist	Production Representative
Technical Services Representative	Technical Services Associate
Sales Planner	Demand Manager
Retail Supervisor	Food Service Supervisor
Merchandising Assistant	Research Assistant
Merchandising Representative	Field Merchandising Representative
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Food Clerk	Grocery Clerk
soc41 Accuracy (%): 88.9655172414 (129/145)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc43-categories.txt
Automotive Sales Service Advisor	Sales Supervisor
Human Resources (HR) Coordinator	Human Resources (HR) Generalist
Claims Representative	Compensation Analyst
Mortgage Specialist	Mortgage Underwriter
Human Resources (HR) Representative	Human Resources (HR) Generalist
Loan Documentation Specialist	Documentation Specialist
Claims Specialist	Insurance Claims Specialist
Admissions Coordinator	Admissions Advisor
Insurance Specialist	Insurance Claims Specialist
Executive Administrative Assistant	Administrative Assistant
Purchasing Assistant	Senior Buyer
Office Associate	Retail Sales Associate
Client Representative	Marketing Representative
Records Clerk	Medical Records Clerk
Specialist Assistant	Activities Assistant
Review Coordinator	Review Nurse
Procurement Assistant	Procurement Analyst
Customer Service Technician	Service Technician
Access Coordinator	Volunteer Coordinator
Project Scheduler	Construction Scheduler
Medical Representative	Medical Assistant
Distribution Technician	Pipeline Technician
Client Service Officer	Client Service Specialist
Billing Accountant	Accountant
Audit Supervisor	Auditor
Account Supervisor	Program Supervisor
Production Warehouse	Production Assembler
soc43 Accuracy (%): 90.635451505 (271/299)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc45-categories.txt
Cable Puller	Maintenance Manager
Farm Equipment Operator	Equipment Operator
Farm Manager	Operations Manager
soc45 Accuracy (%): 75.5555555556 (34/45)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc47-categories.txt
Field Supervisor	Maintenance Manager
Crew Leader	Maintenance Technician
Installation Manager	Maintenance Manager
General Foreman	Foreman
Construction Engineer and Inspection (CEI) Inspector	Construction Engineer
Instrument Fitter	Tube Bender
Facilities Electrician	Maintenance Electrician
Jack Operator	Forklift Operator
Water Proofer	Water and Wastewater Engineer
Electrical Maintenance Technician	Manufacturing Maintenance Technician
Electrical Inspector	Electrical Assembler
Air Conditioning (AC) Electrician	Maintenance Mechanic
Heating, Ventilation, and Air Conditioning (HVAC) Duct Installer	Heating, Ventilation, and Air Conditioning (HVAC) Mechanic
Lead Installer	Maintenance Manager
Well Test Operator	Senior Test Engineer
Project Supervisor	Quality Supervisor
Tradesman	Maintenance Mechanic
soc47 Accuracy (%): 88.8235294118 (151/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc49-categories.txt
Electronic Technician	Electronics Technician
Field Service Engineer	Field Engineer
Instrumentation and Electrical Technician	Electrical Technician
Wireless Technician	Wireless Engineer
Assembly Mechanic	Mechanical Assembler
Refrigeration Technician	HVAC Refrigeration Technician
Service Technician	General Service Technician
Plant Operations Technician	Plant Operator
Shop Manager	Fabricator
soc49 Accuracy (%): 92.5465838509 (149/161)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc51-categories.txt
Maintenance Supervisor	Maintenance Manager
Quality Technician	Quality Assurance Engineer
Shop Foreman	Maintenance Foreman
Production Specialist	Control Specialist
Lab Technician	Laboratory Technician
Operations Coordinator	Recruiter
Manufacturing Lead	Manufacturing Team Lead
Quality Specialist	Quality Control Specialist
Quality Lead	Quality Control Lead
Warehouse Assembler	Packer
Machine Technician	Maintenance Machinist
Operator Assistant	Research Assistant
Machine Inspector	NDT Inspector
Operations Processor	Loan Processor
soc51 Accuracy (%): 91.3978494624 (170/186)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc53-categories.txt
Laborer	General Laborer
Distribution Center Manager	Distribution Manager
Warehouse Production Operator	Production Operator
Pipeline Technician	Field Technician
Production Warehouse	Production Assembler
Controller	Assistant Controller
soc53 Accuracy (%): 93.1623931624 (109/117)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc55-categories.txt
Center Standards and Incentives Officer	Chief Nursing Officer
Radar Technician	Electronics Technician
Weapons Technician	Maintenance Technician
soc55 Accuracy (%): 76.1904761905 (16/21)
Total Accuracy (%): 88.9190523198 (3603/4052)
