processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc25-categories.txt
Heating, Ventilating and Air Conditioning (HVAC) Instructor	HVAC Refrigeration Technician
Education Coordinator	Education Specialist
Program Director	Program Manager
Education Specialist	Training and Development Specialist
Licensed Practical Nurse (LPN) Instructor	Licensed Practical Nurse (LPN)
Program Coordinator	Case Management Supervisor
Certified Nursing Assistant (CNA) Instructor	Certified Nursing Assistant (CNA)
Commercial Driver's License (CDL) Instructor	Commercial Driver's License (CDL) Driver
Clinical Educator	Nurse Educator
Licensed Practical Nursing (LPN) Faculty	Licensed Practical Nurse (LPN)
Research Assistant (RA)	Research Assistant
Learning Consultant	Training and Development Specialist
Accuracy (%): 88.2352941176 (150/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc27-categories.txt
Program Director	Program Manager
Computer Aided Design (CAD) Designer	Design Engineer
Content Specialist	Web Specialist
Marketing Assistant	Administrative Assistant
Brand Advocate	Brand Ambassador
Director of Marketing	Marketing Director
Marketing Representative	Sales Representative
User Interface (UI) Designer	User Interface Developer
Communications Director	Director of Communications
Program Coordinator	Case Management Supervisor
Web Producer	Web Manager
Account Specialist	Collections Specialist
Technical Designer	Design Engineer
Proofreader	Administrative Assistant
Media Relations Manager	Relationship Manager
Media Consultant	Outside Sales Media Consultant
Visual Manager	Sales Manager
Program Supervisor	Clinical Supervisor
Accuracy (%): 84.8484848485 (140/165)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc29-categories.txt
Clinical Nurse	Nurse Manager
Surgical Unit Nurse	Unit Manager
Rehabilitation Coordinator	Volunteer Coordinator
Unit Manager Nurse	Unit Manager
Medical Technician	Emergency Medical Technician (EMT)
Inpatient Services Nurse	Nurse Assistant
Travel Nurse - Cardiac Catheterization Laboratory	Cardiac Catheterization Laboratory Nurse
Cardiovascular Operating Room (CVOR) Nurse	Room Manager
Case Management Coordinator	Case Management Specialist
Quality Improvement Nurse	Director of Quality Improvement
Surgical Services Manager	Clinical Services Manager
Patient Care Manager	Director of Patient Care
Medical Program Coordinator	Case Management Supervisor
Resident Care Manager	Resident Manager
Case Manager Supervisor	Case Management Supervisor
Therapy Technician	Physical Therapy Technician
Health Coach	Job Coach
Laboratory Supervisor	Technician Supervisor
Director of Case Management	Division Director
Clinical Trainer	Systems Trainer
Technician Assistant	Maintenance Assistant
Clinical Analyst	Clinical Systems Analyst
Registrar	Medical Supervisor
Health and Wellness Director	Director of Career Services
Clinical Director	Clinical Manager
Nursery Nurse	Nurse Manager
Health Care Coordinator	Health Supervisor
Obstetrics Nurse	Nurse Manager
Medical-Surgical Nurse	Travel Nurse - Medical/Surgical
Emergency Room (ER) Technician	Operating Room Assistant
Registered Respiratory Therapist	Respiratory Therapist
Clinical Reviewer	Clinical Supervisor
Certified Nursing Midwife	Certified Nursing Assistant (CNA)
Unit Supervisor	Maintenance Supervisor
Imaging Assistant	Clinical Assistant
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Imaging Engineer	Field Service Engineer
Accuracy (%): 82.1167883212 (225/274)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc31-categories.txt
Environmental Services Aide	Environment Services Technician
Instrument Technician	Instrumentation Technician
Operating Room Assistant	Room Manager
Environmental Services Assistant	Environmental Services Director
Registered Dental Assistant	Dental Assistant
Rehabilitation Assistant	Activities Assistant
Certified Home Health Aide	Home Health Aide (HHA)
Pathology Assistant	Histology Technician
Nutrition Assistant	Nutrition Services Worker
Accuracy (%): 87.9518072289 (73/83)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc33-categories.txt
Security Specialist	Information Security Specialist
Security Dispatcher	Dispatcher
Assistant Shift Supervisor	Assistant Supervisor
Security Analyst	Information Security Analyst
Investigative Analyst	Research Investigator
Protection Manager	Risk Manager
Accuracy (%): 90.2173913043 (83/92)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc35-categories.txt
Shift Manager	Sales Manager
Restaurant Shift Supervisor	Restaurant Supervisor
Food Production Manager	Production Manager
Room Supervisor	Tool Maker
Assistant Shift Manager	Speciality Coffee Assistant Manager
Lead Cook	Cook
Food Clerk	Grocery Clerk
Accuracy (%): 90.7216494845 (88/97)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc37-categories.txt
Environment Services Technician	Maintenance Technician
Environmental Services Director	Environmental Services Manager
Maintenance Supervisor	Maintenance Manager
Accuracy (%): 95.1612903226 (59/62)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc39-categories.txt
Activities Director	Activity Director
Service Porter	Porter
Recreation Specialist	Activity Director
Recreation Director	Activity Director
Housekeeping Aide	Housekeeper
Life Skills Trainer	Life Skills Worker
Slot Technician Supervisor	Technician Supervisor
Utility Aide	Food Service Assistant
Valet	Valet Attendant
Fitness Attendant	Room Attendant
Wellness Coordinator	Project Coordinator
Hair Stylist Assistant	Hair Stylist
Caretaker	Property Caretaker
Accuracy (%): 82.3529411765 (84/102)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc41-categories.txt
Store Manager	Sales Manager
Field Sales Manager	Sales Manager
Private Banker	Commercial Banker
Leasing Consultant	Leasing Manager
Universal Banker	Bank Teller
B2B Sales Consultant	B2B Sales Representative
Client Associate	Client Service Associate
Mortgage Sales Assistant	Mortgage Assistant
Product Sales Specialist	Production Representative
Technical Services Representative	Technical Services Associate
Sales Planner	Demand Manager
Retail Supervisor	Food Service Supervisor
Merchandising Assistant	Research Assistant
Merchandising Representative	Field Merchandising Representative
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Food Clerk	Grocery Clerk
Accuracy (%): 86.8965517241 (126/145)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc43-categories.txt
Automotive Sales Service Advisor	Sales Supervisor
Human Resources (HR) Coordinator	Human Resources (HR) Generalist
Claims Representative	Compensation Analyst
Mortgage Specialist	Mortgage Underwriter
Human Resources (HR) Representative	Human Resources (HR) Generalist
Loan Documentation Specialist	Documentation Specialist
Claims Specialist	Insurance Claims Specialist
Admissions Coordinator	Admissions Advisor
Insurance Specialist	Insurance Claims Specialist
Executive Administrative Assistant	Administrative Assistant
Purchasing Assistant	Senior Buyer
Office Associate	Retail Sales Associate
Client Representative	Marketing Representative
Records Clerk	Medical Records Clerk
Specialist Assistant	Activities Assistant
Review Coordinator	Review Nurse
Procurement Assistant	Procurement Analyst
Customer Service Technician	Service Technician
Access Coordinator	Volunteer Coordinator
Project Scheduler	Construction Scheduler
Medical Representative	Medical Assistant
Distribution Technician	Pipeline Technician
Client Service Officer	Client Service Specialist
Billing Accountant	Accountant
Audit Supervisor	Auditor
Account Supervisor	Program Supervisor
Production Warehouse	Production Assembler
Accuracy (%): 90.635451505 (271/299)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc45-categories.txt
Cable Puller	Maintenance Manager
Farm Equipment Operator	Equipment Operator
Farm Manager	Operations Manager
Accuracy (%): 75.5555555556 (34/45)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc47-categories.txt
Construction Project Coordinator	Construction Coordinator
Master Plumber	Plumber
Field Supervisor	Maintenance Manager
Crew Leader	Maintenance Technician
Installation Manager	Maintenance Manager
General Foreman	Foreman
Construction Engineer and Inspection (CEI) Inspector	Construction Engineer
Instrument Fitter	Tube Bender
Facilities Electrician	Maintenance Electrician
Jack Operator	Forklift Operator
Water Proofer	Water and Wastewater Engineer
Electrical Maintenance Technician	Manufacturing Maintenance Technician
Electrical Inspector	Quality Inspector
Air Conditioning (AC) Electrician	Maintenance Mechanic
Heating, Ventilation, and Air Conditioning (HVAC) Duct Installer	HVAC Refrigeration Technician
Lead Installer	Maintenance Manager
Maintenance Electrician	Electrician
Well Test Operator	Senior Test Engineer
Project Supervisor	Quality Supervisor
Tradesman	Maintenance Mechanic
Accuracy (%): 87.0588235294 (148/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc49-categories.txt
Maintenance Electrician	Electrician
Electronic Technician	Electronics Technician
HVAC Journeyman	HVAC Refrigeration Technician
Field Service Engineer	Field Engineer
Instrumentation and Electrical Technician	Electrical Technician
Wireless Technician	Network Technician
Assembly Mechanic	Mechanical Assembler
Refrigeration Technician	HVAC Refrigeration Technician
Service Technician	General Service Technician
Plant Operations Technician	Plant Operator
Shop Manager	Fabricator
Accuracy (%): 91.3043478261 (147/161)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc51-categories.txt
Maintenance Supervisor	Maintenance Manager
Quality Technician	Quality Assurance Engineer
Shop Foreman	Maintenance Foreman
Production Specialist	Control Specialist
Lab Technician	Laboratory Technician
Operations Coordinator	Recruiter
Manufacturing Lead	Manufacturing Team Lead
Quality Specialist	Quality Control Specialist
Quality Lead	Quality Control Lead
Warehouse Assembler	Packer
Machine Technician	Maintenance Machinist
Operator Assistant	Operations Technician
Machine Inspector	NDT Inspector
Operations Processor	Mortgage Processor
Accuracy (%): 91.3978494624 (170/186)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc53-categories.txt
Laborer	General Laborer
Distribution Center Supervisor	Distribution Supervisor
Distribution Center Manager	Distribution Manager
Warehouse Production Operator	Production Worker
Pipeline Technician	Field Technician
Production Warehouse	Production Assembler
Controller	Assistant Controller
Accuracy (%): 92.3076923077 (108/117)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc55-categories.txt
Center Standards and Incentives Officer	Chief Financial Officer (CFO)
Radar Technician	Electronics Technician
Weapons Technician	Maintenance Technician
Accuracy (%): 76.1904761905 (16/21)
Total Accuracy (%): 88.3761105627 (3581/4052)
