Original Title,Expected V2.1 title ,Comments,ONet SOC Set Ordered by Score,Description
"Sr. Operations and Maintenance Technician - Beaver, OK",Operations Technician,,[49],"strongPurpose of Position /strong To perform operational and maintenance activities to assure continuity of operations of assigned facilities within company and regulatory agency procedures.brr/strongPrimary Job Duties and Responsibilities (Essential Job Functions)/strong Install, repair, maintain and test operational equipment of assigned facility.brr/ Operate work equipment, power tools and specialized instruments used in plant operations and maintenance.brr/ Schedule, coordinate and inspect the work of third party contractors to accomplish these objectives.brr/ Maintain facility records for required state, federal and company procedures, and participate in team administrative duties.brr/ Maintain communication with team and management to assure that work will be completed on schedule and in compliance with established practices.brr/ Utilize computers and e-mail for internal and external communication, record keeping, online reporting, material and supply ordering, and filing of various forms.brr/ Participate in and support the training of team members and other team functions such as budgeting, planning, performance management, decision-making, etc.brr/ Maintain cleanliness and general appearance of facilities and surrounding work area.  Ensures all compliance aspects of position are known and followed; understands and complies with all policies, codes and regulations applicable to position and company. &#160; High school diploma, GED or equivalent education.brr/ One to two years related work experience or equivalent technical training for operations and maintenance technician or three to five years of related experience for senior operations and maintenance technician.brr/ Effectively work in a directed team environment that includes shared responsibilities; establish and maintain good working relationships with team members, landowners, contractors and customers; support team and company objectives and be willing to work in any and all areas of operations as requested to maintain team assets.brr/ Must possess a valid driverscense and have an acceptable driving record.brr/ Must be highly motivated and possess a ;Best in Class; vision.brr/ Must be able to identify work priorities, meet deadlines and function withttle or no supervision.brr/ Must be able to achieve skills needed by the team. Must possess or be willing to achieve mechanic and/or operations skill blocks within a reasonable agreed to time frame.brr/ Willingness to work in an environment where compensation is tied to performance and skill level.brr/ Effective oral and written communication skills.brr/ Good working knowledge of computers and thorough understanding of Windows based programs. Effective clerical skills for administrative duties.brr/ Ability to read and interpret operating manuals and engineering standards.brr/ Effective analytical and problem-solving skills.brr/ Ability to identify facility operating deviations and take necessary corrective actions.brr/ Required to work a rotating on-call schedule, subject to 24-hours a day callout at any time for emergency response. Requires carrying a pager and cell phone.brr/ Must be willing to work required overtime and overnight stays away from home.brr/ Ability to work in remote locations, often working alone. Subject to hazardous conditions including escaping gas, adverse weather conditions and temperatures, heights, high-pressure gas, heavyfting and cramped working quarters.brr/ Subject to Department of Transportation drug and alcohol related regulations and testing.brr/"
TRUCK DRIVER - CDL DRIVER TRAINING,Truck Driver,,[53],"bspanhrp alignTruck Driver - CDL Driver Training hrp styletext-align: justify;Student Driversmdash;Earn Your CDL-A the True Texas Way!brbrpbspan18 Days Start to Finish- Student Driver Academy ProgrambrbrpspanThey say everything is bigger and better in Texas, and never is that saying more true than at FFE Transportation Services. We focus on our Driversrsquo; satisfaction and success. That includes year round recession-proof freight, options to advance your career as a CDL graduate, and plenty of miles to maximize income. No matter where you are in your career, we can help take you to the next level. Run with FFE and keep your career moving.brbrpbspanAbout Us: spanWithb more than 60+ years in business; FFE Transportation Services is the industry leader in temperature controlled LTL, Truckload, Dedicated, and Engineering services nationally. We are committed to offering candidates all the resources necessary to succeed. pbspanhrpWe Offer: pspanbull; Get Your CDL- 18 Days from Start to Finish!pspanstrongbull;/strong No Out-of-Pocket Tuition Costpspanbull; World Class Instructors- 3 to 1 Ratiopspanbull;Top Notch Training Equipmentpspanbull; Competitive Training Pay upon Graduationpspanbull; Zero Payroll Deductionbrbull; Customized program for recent CDL Graduatesphrpp styletext-align:  alignbspanAlready Have Your CDL-A with Less Than 1 Year Experience? No Problem! We offer a 14 Day Refresher Course to get Your Career Back on Track!brbrp styletext-align:  alignbspanGet Started in a Great Career with a Leading Company in a Growing Industry. Run with FFE!b p styletext-align:  alignstrongspanbrCALL TODAY:span855-289-2230a titleCall: 855-289-2230; href#;/aa titleCall: 855-289-2230; href#;/a/strongb p styletext-align:  alignbspanFFE Transportation Servicesbr spanbspanhrp alignTruck Driver - CDL Driver Training hrRequirements:ul   spanTexas Resident   spanGood Driving Record   span21 years of agehr/span"
PROJECT MANAGER,Project Manager,,"[11, 47, 15]","b    bPROJECT MANAGER    ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½  Cent FL General Contractor seeks exp. PM for commercial projects. Reply Orlando Sentinel Ad # 10084 P.O. Box 2833 Orlando, FL 32802-2833                 WEB OS24587              p                                                  brbrSource - Orlando Sentinel Please refer to the Job Description to view the requirements for this job"
RN-CLINICAL-FLOAT POOL (Full Time days) **premium pay**-12050219,Registered Nurse, (note: there is no RN-Float Pool in our taxonomy) ,[29],"strongJob: /strong &#160;ICU/CCU strongHospital/Facility: /strong &#160;334-Frye Regional Medical Center - Hickory, NC strongShift Type* : /strong &#160;12 Hour Day strongIf other shift, specify : /strong &#160; strongShift begin time: /strong &#160; strongShift end time: /strong &#160; The Float Pool Registered Nurse has knowledge of nursing care and is able to carry out routine patient care assignments in all nursing areas of the hospital (Critical Care, Definitive Care, Med/Surg, Maternal Child, ED).&#160; Documents nursing activities and nursing care rendered and works within guidelines of Nursing Services&#160; and in collaboration with physicians.//strongThis&#160;Full-time day position working 7A-7P in our Float Pool department./strongr/ /Tenet offers equal employment opportunity to all applicants for employment and to all employees regardless of sex, age, race color, religious creed, national origin, ancestry, marital status, sexual orientation, or disability.&#160;// ulliCurrent RNcense issued by the State of North Carolina.liCurrent CPR certification.liACLS required for Critical Care areas.liComplete advanced training or specialty education or national certification.liMinimum of year of&#160;Critical Care experience required."
Store Management - Aeropostale Jackson Market,Store Manager,,"[41, 11]","bStore Manager / Assistant Managers brbrExperience bAeacute;ropostale! brbrThe true spirit of Aeacute;ropostale is in the people who work hard each and every day to help achieve success for the brand and for each other. Aeacute;ropostale employees are smart, creative, energetic, talented, and diverse individuals who embrace the core vision, mission, and values of the company. brbrAeacute;ropostale has become one of the fastest growing and most recognized young mens and womens, specialty retailers. We have grown to over 900 stores nationwide, and still counting. Aeacute;ropostale prides itself on carrying a focused selection of trend setting, high quality, graphic tees, denim, bottoms, dorm gear and accessories, all at an affordable price. brbrPosition: bStore Manager / Assistant Manager brbManager brRESPONSIBILITIES: brul   Sales br    ul       Meet sales plans and expectations       Meet statistical quality selling expectations       Develop/implement seasonal strategies to increase sales and quality selling statistics       Lead the selling effort on the floor       Act as role model for customer interaction        Personnel br    ul       Make sound hiring decisions       Anticipate hiring needs, recruit management and staff       Train employees for increased effectiveness       Develop employees to support career growth, meet expectations for internal promotion       Evaluate performance against company standards        Merchandising br    ul       Lead execution of company directed floor set and visual display       Lead execution of company marketing strategies       Drive sales results by ensuring appropriate merchandise levels on selling floor        Operations br    ul       Responsible for executing company policy and procedures related to store operations         brbrbAssistant Manager brRESPONSIBILITIES: brul   Sales br    ul       Meet sales plans and expectations       Meet statistical quality selling expectations       Lead the selling effort on the floor       Act as role model for customer interaction        Personnel br    ul       Recruit associates and assist in meeting manpower needs       Assist in hiring associates       Train and develop associates for increased effectiveness       Evaluate associate performance again company standard        Merchandising br    ul       Assist in execution of company directed floor set and visual display       Assist in execution of company marketing strategies       Ensure appropriate merchandise levels on selling floor        Operations br    ul       Responsible for executing company policy and procedures related to store operations.         brbrWe at Aeacute;ropostale understand that there is more tofe than your job. We offer a competitive salary along with a generous benefit package to give our employees the tools to balance their personal and professionalves. Some of these benefits include: brul   Comprehensive medical and dental insurance   Realistic bonus potential   Paid vacation and personal days   Tuition reimbursement   401(K) investment savings plan   Training and career development   Generous merchandise discount   Casual work environment  Required Experience brbStore Manager brul   2+ years as a Store Manager in similar volume, type business   Total 3+ years of retail supervisory experience brbAssistant Manager brul   9 + months as Assistant Manager in similar volume, type business   or college degree: Associates or Bachelorrsquo;s (preferred) "
Credit Analyst,Credit Analyst,,[13],"pspanThe role of the Senior Credit Analyst is to provide accurate, timely and insightful financial and operational analysis, to identify and communicate expense savings opportunities, and to identify and implement process improvement opportunities for 3suprd/sup Party Credit and Gift card operations and throughout the organization.ppbispanMajor responsibilities:/i   spanBecome a subject matter expert for assigned areas of responsibility   spanDevelop and maintain expense forecasting models for areas of responsibility   spanPartner with Accounting Department amp; Expense Managers to understand monthly expense variances   spanAct as lead budget analyst for areas of responsibility, includes developing expense Guidelines, creating budget bridges, analyzing Manager Plans, and finalizing annual budgets   spanFacilitate the entry of the budget into the Hyperion planning systemspan styletext-decoration:    spanIdentify, quantify, and communicate risks and opportunities to budget   spanIdentify, quantify, and assist in implementing expense savings ideas   spanPerform ad hoc analysis on all areas of the business as requested by the Director and VP of Credit   spanBuild and maintain complex financial models to support business initiatives   spanPrepare presentations of financial models and concepts aimed at driving inter-departmental collaboration   spanRoll forward current expense budgets to develop 3 Year projections for areas of responsibility.span styletext-decoration:    spanIdentify process improvements within the Financial Planning Department, including but notmited to report reduction, process automation, improved use of technology, improved communication and data hand-off, and documentation of key assumptionsspan styletext-decoration:    spanPrepare monthly reporting and analysis of all 3suprd/sup Party sales activity including interchange qualification levels and chargeback expense   spanPrepare monthly reporting and analysis of gift card activity including sales, redemptions and dormancy income by store, region, division and total company   spanAssists the Director and VP of Credit assess and implement new technologies related to any area of payment processing and reconciliationppbispan styletext-decoration: /ipbispanBehavioral Traits:/i   spanExcellent analytical, communication, problem solving, and reasoning skills   spanResults oriented, has high standards   spanWillingness to learn and embrace change   spanCreative   spanExhibits high sense of urgency   spanHighly organized, attention to detail   spanAbility to produce high quality results in an ever changing, demanding environment   spanAbility to manage multiple, conflicting priorities, without sacrificing quality of resultsppbispanManagement Practices amp; Business Applications:/i   spanHighly proficient in Microsoft Office (specifically Excel and Powerpoint)   spanAbility to use query tools and databases (Hyperion Essbase a plus)   spanspanAbility to design and implement process improvements. pbispanEducation amp; Experience/i   spanFour Year Degree, Finance or Business preferred   spanThree or more years Financial Analysis experience with a proven track record of career growth (retail a plus)   spanDemonstrated ability to create complex financial modelspbrpspanFor reasonable accommodation information for an ADAAA qualified disability please see Belk Associate Handbook for policy and procedures. "
"Manager in Training, Now Accepting Applications for Future Openi",Sales Manager,,"[41, 11]","Find the Career iYou/i Deserve, and help Hardworking People Get the Quality Home Merchandise They Deserve!Join Rent-A-Center, Americas #1 Rent-to-Own Company.For over 20 years, Rent-A-Center has meant opportunity for millions: Opportunity for our customers who are able to enjoy access to the best in brand-name furniture, electronics, appliances and home computers; Opportunity for our more than 19,000 employees who have found a fast-paced, rewarding career with the leader in rent-to-own, and a company named one of the Top 50 Retail Brands in 2009.rRent-A-Center is looking for talented, career-oriented Managers in Training.&#160; You will be a key player in every stage of the process-managing people, analyzing profit and loss, and maximizing the customers experience and the stores revenue.&#160; &#160;The responsibilities of the position include:r&#160;&#160; Monitor and ensure total customer satisfactionr&#160;&#160; Create manage and execute plans to increase sales and profitsr&#160;&#160; Monitor and improve sales skills of all employeesr&#160;&#160; Set specific goals for store performance and employee training and developmentr&#160;&#160; Provide leadership and guidancer&#160;&#160; Budgeting, pencil profit system and report analysisr&#160;&#160; Inventory management and security of all store assetsAs a MIT, you will participate in an intense training program under the direction of your District Manager to acquire knowledge and experience in every aspect of Rent-A-Centers proven methods in the business of rent-to-own.r// To be considered for this position, you must meet the following requirements:rr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Three years of management experience including a working knowledge of profit/loss - plus a college degree; orrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Five years of management experience including at least three years of profit/loss experiencerr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Computerteracyroficiency in a windows operating systemrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Organizational and time management skillsrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Friendly with exceptional communication andsteningrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Excellent customer service skillsrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Valid driverscense with good driving recordrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Must be at least 20 years of agerr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Heavyfting requiredWe offer excellent benefits:rr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Five-day workweek-no Sundays requiredrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Automatic pay increases at six-month intervalsrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; 10 days paid vacation after first year of employmentrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Paid sickersonal daysrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Medical, dental, disability, andfe insurance with dependent option after 60 daysrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; Employee Purchase Planrr&#160;&#160;&#160;&#160;&#160;&#160;&#160; 401(k) with company match#MITr//"
Senior Financial Systems Analyst,Systems Analyst ,(financial systems analyst titles are in this cluster),"[15, 13]","pspanCurrently we are seeking individuals for the following position: pbspan pbspanSenior Financial Systems Analystpbspan pbspan styletext-decoration: Senior Financial Systems Analyst Job Responsibilities   spanProvide financial system support for General Ledger and other Finance Teams during Month End Close   spanCreate and maintain complex PeopleSoft nVision, Hyperion Essbase and Essbase Retrieve reports   spanDevelop and update PeopleSoft queries   spanMaintain PeopleSoft trees for financial reports and production data processing   spanMaintain all PeopleSoft General Ledger public queries, develop new queries based on business requirements and fulfill any adhoc query requests   spanTroubleshoot and resolve system and reporting issues by identifying the root cause; propose corrective options to management, test corrective system changes and validate results   spanProvide administration support to report repository application including security and maintenance   spanUsing current PC database tools such as MS Access and Excel, provide detailed statistical and trend analysis for management decision making. Provide options and best practice recommendations based on analysis work   spanProvide support to accounting team for internal, external and SOX audits   spanMaintain Datamart reporting and provide requests as required   spanProvide administration support to report repository application including security and maintenance   spanResponsible for the project planning, program design, testing, documentation and post-production support of enhancement and maintenance work requests   spanResponsible for analyzing, synthesizing, and documenting business requirements and processes from various business perspectives   spanPerform assessments on current processes and provide recommended solutions or improvements   spanParticipate in performance tuning, software, hardware and tools upgrades   spanProvide financial system support for all Accounting and Finance teams during book close   spanManage the employee chartfield coding process in conjunction with areas amp; regions; identify improvement opportunities to streamline this process   spanManage monthly Budget loads into PeopleSoft Financials from Essbase data provided by HQ Finance Budget group   spanResponsible for writing PeopleSoft queries   spanResponsible for Sarbanes-Oxley, ERP security, internal and external audit requests   spanMaintain Chart of Accounts and Reporting Structures   spanOversee security for the PeopleSoft General Ledger module   spanOversee General Ledger Systems training and development p/ pbspan styletext-decoration: Senior Financial Systems Analyst Skills Required to be considered:   span5 - 7 years accounting/finance experience   spanSome reporting experience with PeopleSoft nVision, Hyperion or similar to spanSome experience with PeopleSoft Queries   spanExtensive knowledge and experience with PeopleSoft 9.0 General Ledger   spanExpertise with Microsoft Access   spanApplication including interface management experience   spanWorking knowledge of PeopleSoft Accounts Payable, Asset Management, and Purchasing Modules   spanExperience with financial systems, procedures and verification, and solid understanding of financial statements and concepts   spanExtensive knowledge of Microsoft Office Applications including expert Access skills   spanExcellent written and oral communication skills   spanStrong organizational, analytical, investigative, and problem solving skills   spanAbility to effectively prioritize responsibilities, handle multiple assignments in a timely manner and consistently deliver on commitments   spanComfortable using VISIO and creating process flowcharts   spanExceptional organization skills   spanWillingness to work proactively in a team environment   spanAbility to exchange information clearly and concisely with all levels of leadership and peers   spanWilling to work overtime as needed Additional Preferred Skills that are nice to have:    spanExperience with PeopleSoft 8.4 and PeopleSoft Implementations   spanExperience working in a shared services environment   spanKnowledge of Hyperion Essbase   spanKnowledge of Record Management systems   spanProven track record of successful ERP implementations   spanKnowledge of cellular or telecommunications industry   spanComfortable using standard project management documentation techniquesppbspan styletext-decoration: Senior Financial Systems Analyst Education Required:   spanBachelors degree with concentration in Accounting, Finance or Information Systemsppb pbspanApplicant must be eligible to work in the US for immediate opening.pppspanThe Bartech Group, one of Americas largest and fastest-growing staffing firms, continues to elevate the staffing industry to a higher level of thinking. Bartech Enterprise Staffing specializes in temporary and direct placement of Engineering, IT, Technical, Finance amp; Accounting, and Professional staff. ppspanWhen you join The Bartech Group you launch a career. We support you with a comprehensive benefit plan, offering exceptional medical, dental, and vision care;fe and disability insurance; paid time off including holidays; and 401K.ppspanSenior Financial Systems Analyst Keywords: Financial, Systems Analyst, PeopleSoft, Accounting, Budgetingp"
Senior Trainer - Sales Force Development,Senior Trainer,,[13],"pstrongResponsible for developing and conducting internal and/or external technical and professional skills training for regional sales staff including newly hired sales staff within the assigned department(s), as well as customers, agents and labor negotiators.&#160;/strongIdentify internal and/or external departmental training needs in consultation with management. Develop and conduct training courses for internal and/or external staff ensuring appropriateness and consistency with corporate and divisional goals. Advise employees and management on appropriate training courses, counseling individuals as necessary. Coordinate the maintenance of accurate training records monitoring costs, and maintaining budgetary control of all training activities. Provide leadership with regular status reports on assignments, special projects, etc. communicating issues and solution recommendations. May require participation on corporate workgroups and scheduling of all training sessions. Other duties may be assigned. ulliBachelors Degree in Business, Education, Marketing or related discipline is required. Four (4) years BCBS or related experience in Insurance Underwriting, Intangible Sales or Sales Training with a minimum of two (2) years experience with BCBS Policies Procedures, Products, Sales and Underwriting processes.&#160; Excellent presentation, verbal and written communication skills required. Proficient in current industry standard PC applications and systems. Ability to design and produce training materials based on the Instructional Design Process. Knowledge of Adult Learning Principles. Valid Michigan driverscense required. Extensive travel to business locations required. Licensed Agent in the State of Michigan preferred. Other related skills and/or abilities may be required to perform this job.&#160;&#160;pstronguDepartment Requirements:/u/strong ulliSome travel.mited to State of Michigan. "
"Supv, Network Maintenance",Maintenance Manager,"this cluster also has Supv, Network Maintenance titles","[49, 15]","Division/Entitybrig South Region: Shreveport, LAbrr/Job Overviewbresponsible for supervising and coordinating the daily activities of the Network Maintenance Technicians who perform tasks in the same function. Sets priorities for the team, assigns tasks, and checks workbrerformance at regular intervals.  Establishes and implementsbrrocedures, performance standards, and best practices. Develops andtrains staff. Resolves customer inquiries in an organized and timelyfashion.brr/Tasksbr Selects and provides training and direction to Network MaintenanceTechnicians on all maintenance activities, proper work methods, qualitystandards, and equipment.br Supervises the daily schedule and delegates responsibilities.br Monitors work production and quality, ensuring that all repairs meetbrequired specifications and that all safety and Company procedures arefollowed.br Reviews FCC technical requirement and maintains records accordingly.brerforms all FCC-related field testing; maintains network at or betterthan design specifications.br Enforces performance standards and guidelines for Field Operations.Implements/monitors ongoing work safety programs in compliance with OSHAstandards.br Coordinates and participates in work performance reviews along withbrroviding ongoing open communication with the team.br Analyzes operations and performances to assure operationalefficiencies through productivity, quality control, customersatisfaction, and trouble calls on installs.br Coordinates vehicle preventative and corrective maintenance.br Resolves customer complaints in a timely and professional manner.br Orders supplies and equipment and keeps accurate records.br Consistent exercise of independent judgment and discretion in mattersof significance.br Regular, consistent and punctual attendance. Must be able to worknights and weekends, variable schedule(s) as necessary.br Other duties and responsibilities as assigned. - Associates Degree or Equivalentbr Generally requires 4-7 years related experience  p Comcast is an Equal Employment Opportunity/Affirmative Action/Drug-Free workplace employer."
Systems Analyst,Systems Analyst ,,[15],"pbCompany: Hi-Tech Solutions, IncpbLocation:  Downtown ChicagopbType: Contract pbLength:  12 Months+pb pbpbJob Title: Systems Analyst ppspanHi Tech Solutions, Inc is currently seeking a Systems Analyst for a contract opportunity. The overview for this position is as follows:ppspan-Work with clients to help identify business requirements and processes. pspan-Analyze business requirements and research and evaluates alternative solutions for new and existing systems.pspan-Develop projectfecycle documents such as the functional and technical specification documents that will describe business and system requirements.pspan-Work with development team to create detail design of processes and participates in the writing and reviewing of unit test plans. pspan-Utilize available technology, capacity andmitations of equipment, and operating time to achieve desired results. pspan-Create test plans and test cases. Leads and performs integration testing activitiespspan-Assess testing scope and interface with Q/A to develop detailed system testing planpspan-Work with development team, operations, technical support and other IT areas as appropriate throughout the development and installation process.pspan-Complete source code analysis as is required.pspan-Contribute estimates to the project planning effort.pspan-Perform other duties as assignedp pbispanRequirements:/ipspanRequires excellent interpersonal and communication skills both verbal and writtenpspanMust possess strong analytical and problem solving skillspspanSolid understanding of relational database design and SQL.pspanAbility to work across multiple platforms (IBM mainframe, UNIX, NT, distributed systems).pspanProficiency in Microsoft office applications including Word and Excel pspanExposure to modeling tools (e.g. Rational Rose, System Architect, Visio). pspanIndividual must have experience using the system developmentfe cycle.pspanExperience with object oriented analysis and design techniques preferred.pspanSecurities industry knowledge preferred.pspanBachelorrsquo;s degree in Computer Science, Math, Business, Communications or a related discipline or an equivalent combination of education and work experience.pspanAt least three years of experience in system analysis and application program developmentbrbrbrbrpbpspanHTS * Hi-Tech Solutions * is Chicagorsquo;s largest, privately held IT Staffing and Solutions Company. We are celebrating over 20 years of excellence in 2012 in the Chicago area. We target and attract the best and the brightest talent in the industry, matching your skills and personality to our clients specific requirements. We offer a comprehensive benefits package including participation in a 401K plan. Please visit our web page for more information and additional job opportunities at a ExLinkAttributehttp://www.htsconsulting.com%2f; classexLink; hrefhttp://www.htsconsulting.com/;www.htsconsulting.com//a"
"RN - Registered Nurse - 2nd shift - Durham, NC",Registered Nurse,,[29],"At Kindred Healthcare, our mission is to promote healing, provide hope, preserve dignity and produce value for each patient, resident, family member, customer, employee and shareholder we serve. Kindred Healthcare, Inc. (NYSE:KND) is a healthcare services company, based in Louisville, Kentucky, with annual revenues of over $4.2 billion. At December 31, 2009, Kindred through its subsidiaries provided healthcare services in 621 locations in 41 states, including 83 long-term acute care hospitals, 222 skilled nursing centers and a contract rehabilitation services business, Peoplefirst Rehabilitation Services, which served 316 non-affiliated facilities. Kindredï¿½ï¿½ï¿½s 54,100 employees are committed to providing high quality patient care and outstanding customer service to become the most trusted and respected provider of healthcare services in every community we serve. An Equal Opportunity Employer. Drug Free Workplace. Work with our physicians, implementing their orders for medications, treatments and special tests. Supervise our LPNs, LVNs and CNAs to help them provide total nursing care for our residents. Be part of the Kindred family of knowledgeable and caring professionals who work together to give the very best in long-term health care. brresponsibilities:brliInterview applicants, recommend hires; participate in counseling to extent permitted by the State Practice ActInitiate and lead team conferences to develop individualized nursing care plans; assess and document residentï¿½ï¿½ï¿½s condition and nursing needs; assign team members who have the capabilities and qualifications to meet residentï¿½ï¿½ï¿½s needsImplement physiciansï¿½ï¿½ï¿½ orders; administer medications, start IVs, perform treatments, procedures and special tests and document treatment as required by Kindred and local/state/federal rules and regulationsEnsure supplies are used economically and equipment is clean and maintained in a safe mannerCoordinate nursing care of residents scheduled for therapy or procedures by other departmentsReport and record observations and reactions regarding residentsAssist or institute emergency measures for sudden adverse developments pRegistered Nurse RN Nurse Nursing Nurses Long Term Care RN Med/Surg RN m/s RN Infection Control RN Employee Health RN Special Practice RN ulliMust be skilled in directing, motivating and training staff and able to work as a member of a team able to communicate effectively with residents, family members and all levels of the organization and maintain confidentiality. Should be a graduate of an accredited RN School of Nursing with valid RN statecense, CPR certification and one year of nursing experience. If you are a current strong KindredehabCare employee/strong a ExLinkAttributehttps://ats.kindredhealthcare.com%2fatsvalidation%2fvalidation.aspx%3fatscareersectionid%3d1%26atscareersectiontypeid%3d1; classexLink; hrefhttps://ats.kindredhealthcare.com/atsvalidation/validation.aspx?atscareersectionid=1amp;atscareersectiontypeid=1;strongClick Here/strong/astrong./strong"
EXPRESS REPRESENTATIVE,Claims Examiner,hard to pin this title down - can it also be a Claims Adjuster?,"[13, 43]","STRONGPosted Date: /STRONG&#160;10/15/2012 BRBRSTRONGSummary:/STRONG Summary: BRInvestigates and handles to conclusion moderate first and third party claims involving coverage andability determination. Role explores all settlement opportunities, tools for resolution, and with authority of up to $7,500 for injury resolution.       Job Responsibilities: BR    ï¿½ï¿½ï¿½Understands concepts of coverage, policy interpretation, exposure recognition andability determination to analyze and move claims towards resolution using best practices. BR    ï¿½ï¿½ï¿½Handles non-represented injury claims up to a specified period prior to triage including investigating and evaluating soft tissue injuries. BR    ï¿½ï¿½ï¿½Negotiates minor injury claims by using tools available such as full and final settlements or open-ended releases. BR    ï¿½ï¿½ï¿½Identifies exposures and refers files or features for triage to the appropriate level. BR    ï¿½ï¿½ï¿½Contacts insured, claimants including guest passengers to rule out any physical damage, first party medical, or injury claims. BR    ï¿½ï¿½ï¿½Obtains information and investigates the facts of loss to make aability determination. BR    ï¿½ï¿½ï¿½Assigns material damage features as needed and may handle all customer questions to conclusion. BR    ï¿½ï¿½ï¿½Uses expert systems to evaluate facts of loss and impact onability and to assist in evaluation of medicals. BR    ï¿½ï¿½ï¿½Document files to include all key activities, contacts made, statements taken, including a full outline covering all aspects of the claim and requirements for resolution and process claims with Esurance claims systems. BR    ï¿½ï¿½ï¿½Identifies and transfers total loss features to the Total Loss Unit for handling. BR    ï¿½ï¿½ï¿½Identifies referrals, completes proper summaries and forwards files to subrogation for collection in a timely manner BR    ï¿½ï¿½ï¿½Makes referrals to SIU as needed. BR    Qualifications: BR    ï¿½ï¿½ï¿½Detail-oriented with strong organizational, negotiation, influential, and customer service skills, able to work well under deadlines in a changing environment and perform multiple tasks effectively and concurrently. BR    ï¿½ï¿½ï¿½Demonstrated ability to work effectively independently and within a collaborative team oriented environment using sound judgment in decision-making. BR    ï¿½ï¿½ï¿½Demonstrated ability to manage relationships with both internal and external customers. BR    ï¿½ï¿½ï¿½Excellent communication skills both oral and written with strong presentation skills. BR    ï¿½ï¿½ï¿½Strong analytical and problem solving skills. BR    ï¿½ï¿½ï¿½Demonstrated proficiency with MS Office products (Outlook, Word, Excel, PowerPoint) and claims related software applications. BR    Experience / Education: BR    ï¿½ï¿½ï¿½Bachelorï¿½ï¿½ï¿½s degree in Business Administration, a related field, and/or equivalent education required. BR    ï¿½ï¿½ï¿½One to three years of claims adjuster experience./    STRONGResponsibilities:/STRONGUL   Obtains and analyzes facts of loss to determineability and exposures for handling   Identifies higher level exposures and refers files or features to management for triage.   Sends necessary correspondence as it relates to the claim and department of insurance regulations   Monitors and updates customers at various stages of the claims and repair process to ensure expeditious service   Uses Esurance systems to properly document files and process claims.   Promptly identifies and transfers total loss features to the Total Loss Unit for settlement handling   Identifies referrals, completes proper summaries and forwards files to subrogation for collection in a timely manner STRONGQualifications:/STRONGUL   Detail-oriented with strong organizational skills, able to work well under deadlines in a changing environment and perform multiple tasks effectively and concurrently.   Demonstrated ability to manage relationships with both internal and external customers.   Demonstrated ability to work effectively independently and within a collaborative team oriented environment using sound judgment in decision-making.   Excellent communication skills both oral and written.   Strong analytical and problem solving skills.   Excellent customer service and solid negotiation skills.   Demonstrated proficiency with Microsoft Office products (Outlook, Excel, PowerPoint, and Word) and claims related software programs. STRONGExperience / Education:/STRONG   Bachelorï¿½ï¿½ï¿½s degree in Business Administration, a related field, and/or equivalent education required.STRONG/STRONG   Two years of claims customer service experience required In addition to career advancement opportunities and a fun work culture, Esurance offers comprehensive medical, dental, vision care and supplementalfe insurance benefits for you and your family, a competitive compensation package along with a Performance Bonus, company matching 401(k) plan, and immediate tuition reimbursement from the start of your employment. &#160;"
